Premature end of JPEG file
Premature end of JPEG file
Premature end of JPEG file
/gpfs/accounts/robosub_team_root/robosub_team/bdmanley/modelcompression-2019/venv/lib64/python3.6/site-packages/sklearn/externals/joblib/externals/cloudpickle/cloudpickle.py:47: DeprecationWarning: the imp module is deprecated in favour of importlib; see the module's documentation for alternative uses
  import imp
Loading dataloaders..
      Image      Total          P          R        mAP
     0/2     31/7328     0.118     0.151      1.42     0.158      1.85       179     0.975
     0/2     32/7328     0.118      0.15      1.41      0.16      1.84       135     0.932
     0/2     33/7328     0.118     0.152      1.42     0.162      1.85       140      1.06
     0/2     34/7328     0.118     0.151      1.41     0.161      1.84       115      1.05
     0/2     35/7328     0.118     0.151       1.4      0.16      1.83       117     0.999
     0/2     36/7328     0.118     0.151      1.41     0.164      1.84       150     0.975
     0/2     37/7328     0.118      0.15      1.41     0.164      1.84       111      0.94
     0/2     38/7328     0.118     0.149       1.4     0.163      1.83        92     0.924
     0/2     39/7328     0.118     0.149       1.4     0.165      1.83        97     0.998
     0/2     40/7328     0.118     0.149      1.39     0.165      1.83       105         1
     0/2     41/7328     0.118     0.149      1.39     0.165      1.82       108     0.973
     0/2     42/7328     0.118     0.149      1.39     0.164      1.82       109     0.943
     0/2     43/7328     0.118     0.149      1.39     0.163      1.82       143      1.09
     0/2     44/7328     0.118     0.148      1.39     0.161      1.81        95      1.16
     0/2     45/7328     0.118      0.15      1.41     0.163      1.85       185      1.11
     0/2     46/7328     0.118     0.151      1.43     0.163      1.86       185      1.29
     0/2     47/7328     0.118     0.151      1.42     0.163      1.85       111     0.925
     0/2     48/7328     0.118      0.15      1.42     0.163      1.85       135     0.963
     0/2     49/7328     0.118      0.15      1.43     0.165      1.86        91     0.889
     0/2     50/7328     0.118      0.15      1.43     0.164      1.86       126      1.01
     0/2     51/7328     0.119      0.15      1.43     0.166      1.87       156      1.18
     0/2     52/7328     0.119     0.149      1.44     0.166      1.87        91      1.05
     0/2     53/7328     0.119     0.149      1.44     0.165      1.87       117       1.1
     0/2     54/7328     0.119     0.149      1.44     0.166      1.87       122      1.12
     0/2     55/7328     0.119      0.15      1.43     0.164      1.86        96      1.02
     0/2     56/7328     0.119      0.15      1.43     0.165      1.86       121      1.11
     0/2     57/7328     0.118      0.15      1.43     0.166      1.86       137      1.04
     0/2     58/7328     0.118      0.15      1.42     0.166      1.86       116      1.07
     0/2     59/7328     0.118      0.15      1.42     0.166      1.85        97     0.976
     0/2     60/7328     0.118      0.15      1.41     0.166      1.84       112      1.26
     0/2     61/7328     0.119      0.15      1.41     0.165      1.85       100      1.14
     0/2     62/7328     0.118      0.15      1.41     0.164      1.84       111      1.04
     0/2     63/7328     0.118     0.149       1.4     0.164      1.84       117     0.938
     0/2     64/7328     0.118     0.149       1.4     0.164      1.83        91      1.46
     0/2     65/7328     0.118     0.148      1.41     0.163      1.84        97      1.23
     0/2     66/7328     0.118     0.148      1.41     0.164      1.84       146      1.02
     0/2     67/7328     0.118     0.148      1.41     0.165      1.84        74      1.01
     0/2     68/7328     0.119     0.148      1.41     0.164      1.84        89     0.938
     0/2     69/7328     0.119     0.148       1.4     0.164      1.83        92     0.978
     0/2     70/7328     0.119     0.149      1.41     0.163      1.84       172      1.01
     0/2     71/7328     0.119     0.149      1.41     0.163      1.84       100     0.877
     0/2     72/7328     0.119     0.149      1.41     0.162      1.84       128     0.866
     0/2     73/7328     0.119     0.149       1.4     0.162      1.83        94     0.997
     0/2     74/7328     0.119     0.149       1.4     0.163      1.83       102      1.03
     0/2     75/7328     0.118     0.149       1.4     0.165      1.83        95     0.949
     0/2     76/7328     0.118     0.149       1.4     0.165      1.84       146     0.968
     0/2     77/7328     0.118     0.149       1.4     0.165      1.83       103      1.02
     0/2     78/7328     0.118     0.149      1.41     0.165      1.84       151     0.977
     0/2     79/7328     0.118     0.148      1.41     0.168      1.84       118     0.979
     0/2     80/7328     0.118     0.148      1.41     0.166      1.84       134     0.964
     0/2     81/7328     0.118     0.148       1.4     0.168      1.84       104      1.01
     0/2     82/7328     0.118     0.149      1.41     0.169      1.84       133      1.06
     0/2     83/7328     0.118     0.148      1.41      0.17      1.85       138     0.948
     0/2     84/7328     0.118     0.149      1.41     0.171      1.85       119     0.985
     0/2     85/7328     0.118     0.148      1.41     0.172      1.85       125     0.934
     0/2     86/7328     0.118     0.149      1.41     0.173      1.85       142      1.07
     0/2     87/7328     0.118     0.149      1.41     0.172      1.85        81      1.02
     0/2     88/7328     0.118     0.149      1.41     0.171      1.84       101      0.94
     0/2     89/7328     0.118     0.149       1.4     0.171      1.84       120     0.982
     0/2     90/7328     0.118     0.149       1.4     0.171      1.84       101     0.985
     0/2     91/7328     0.118     0.149       1.4     0.172      1.84       142     0.985
     0/2     92/7328     0.118     0.148       1.4     0.172      1.84       113     0.977
     0/2     93/7328     0.118     0.148       1.4     0.172      1.84        85     0.967
     0/2     94/7328     0.118     0.148       1.4     0.171      1.84       115     0.923
     0/2     95/7328     0.117     0.148       1.4     0.172      1.83       110      1.05
     0/2     96/7328     0.118     0.148      1.39     0.172      1.83       128      1.02
     0/2     97/7328     0.117     0.148      1.39     0.172      1.83       119     0.958
     0/2     98/7328     0.118     0.148      1.39     0.173      1.83       132     0.939
     0/2     99/7328     0.118     0.148      1.39     0.173      1.82        67         1
