Premature end of JPEG file
Premature end of JPEG file
Premature end of JPEG file
Loading dataloaders..
      Image      Total          P          R        mAP
       4960       5000       0.63      0.601      0.591      0.189s
       4976       5000       0.63        0.6       0.59      0.191s
       4992       5000       0.63        0.6      0.591      0.195s
       5000       5000       0.63        0.6      0.591      0.154s
Skipping masking of layer:  BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  EmptyLayer()
Skipping masking of layer:  BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  EmptyLayer()
Skipping masking of layer:  BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
Skipping masking of layer:  EmptyLayer()
Skipping masking of layer:  BatchNorm2d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
Skipping masking of layer:  LeakyReLU(negative_slope=0.1)
